PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Christian Braun,DEN,Wing,SG,5.7 ,92,"$4,921,797 ","$21,575,097 ","$16,653,300 "
Dereck Lively II,DAL,Center,C,5.7 ,93,"$5,253,360 ","$21,575,097 ","$16,321,737 "
Payton Pritchard,BOS,Point,PG,5.6 ,94,"$7,232,143 ","$20,973,072 ","$13,740,929 "
Al Horford,GSW,Big,C,5.6 ,95,"$5,685,000 ","$20,973,072 ","$15,288,072 "
Andrew Nembhard,IND,Combo,SG,5.5 ,96,"$18,102,000 ","$20,374,635 ","$2,272,635 "
Daniel Gafford,DAL,Center,C,5.5 ,97,"$14,386,320 ","$20,374,635 ","$5,988,315 "
Jordan Poole,NOP,Combo,SG,5.5 ,98,"$31,848,215 ","$20,374,635 ","($11,473,580)"
Jalen Duren,DET,Center,C,5.5 ,99,"$6,483,144 ","$19,780,155 ","$13,297,011 "
Naz Reid,MIN,Big,PF,5.5 ,100,"$21,551,724 ","$19,780,155 ","($1,771,569)"
Tobias Harris,DET,Forward,PF,5.5 ,101,"$26,634,146 ","$19,780,155 ","($6,853,991)"
Keegan Murray,SAC,Forward,PF,5.5 ,102,"$11,144,093 ","$19,780,155 ","$8,636,062 "
Ausar Thompson,DET,Forward,SF,5.4 ,103,"$8,775,000 ","$19,190,001 ","$10,415,001 "
Toumani Camara,POR,Forward,SF,5.4 ,104,"$2,221,677 ","$19,190,001 ","$16,968,324 "
Tari Eason,HOU,Forward,SF,5.4 ,105,"$5,675,766 ","$19,190,001 ","$13,514,235 "
Brandin Podziemski,GSW,Combo,SG,5.4 ,106,"$3,687,960 ","$19,190,001 ","$15,502,041 "
De'Andre Hunter,CLE,Forward,SF,5.4 ,107,"$23,303,571 ","$19,190,001 ","($4,113,570)"
Malik Monk,SAC,Combo,SG,5.4 ,108,"$18,797,619 ","$19,190,001 ","$392,382 "
RJ Barrett,TOR,Wing,SG,5.4 ,109,"$27,705,357 ","$19,190,001 ","($8,515,356)"
Bradley Beal,LAC,Wing,SG,5.4 ,110,"$5,354,000 ","$19,190,001 ","$13,836,001 "
P.J. Washington,DAL,Forward,PF,5.3 ,111,"$14,152,174 ","$18,604,543 ","$4,452,369 "
Dillon Brooks,PHX,Wing,SF,5.3 ,112,"$21,124,110 ","$18,604,543 ","($2,519,567)"
Luguentz Dort,OKC,Wing,SG,5.3 ,113,"$18,222,222 ","$18,604,543 ","$382,321 "
Santi Aldama,MEM,Forward,PF,5.3 ,114,"$18,485,916 ","$18,604,543 ","$118,627 "
Cam Thomas,BKN,Combo,SG,5.3 ,115,"$5,993,172 ","$18,604,543 ","$12,611,371 "
Ty Jerome,MEM,Combo,PG,5.3 ,116,"$8,781,000 ","$18,024,152 ","$9,243,152 "
Donte DiVincenzo,MIN,Combo,SG,5.3 ,117,"$11,990,000 ","$18,024,152 ","$6,034,152 "
Jalen Green,PHX,Combo,SG,5.2 ,118,"$33,584,499 ","$17,449,195 ","($16,135,304)"
Anfernee Simons,BOS,Combo,PG,5.2 ,119,"$27,678,571 ","$17,449,195 ","($10,229,376)"
Brook Lopez,LAC,Center,C,5.1 ,120,"$8,750,000 ","$16,880,042 ","$8,130,042 "
Onyeka Okongwu,ATL,Center,C,5.1 ,122,"$15,000,000 ","$16,880,042 ","$1,880,042 "
Klay Thompson,DAL,Wing,SG,5.1 ,123,"$16,666,667 ","$16,317,055 ","($349,612)"
Dorian Finney-Smith,HOU,Forward,SF,5.1 ,124,"$12,700,000 ","$16,317,055 ","$3,617,055 "
Deandre Ayton,LAL,Center,C,5.1 ,125,"$8,104,000 ","$16,317,055 ","$8,213,055 "
Nic Claxton,BKN,Center,C,5.1 ,126,"$25,352,272 ","$16,317,055 ","($9,035,217)"
Herbert Jones,NOP,Forward,SF,5.1 ,127,"$13,937,574 ","$16,317,055 ","$2,379,481 "
