Rank,PLAYER,TEAM,POS,POS',評分,真實薪水,評估薪水,差額
108,Malik Monk,SAC,SG,Combo,5.4 ,"$18,797,619 ","$19,190,001 ","$392,382"
109,RJ Barrett,TOR,SG,Wing,5.4 ,"$27,705,357 ","$19,190,001 ","-$8,515,356"
110,Bradley Beal,LAC,SG,Wing,5.4 ,"$5,354,000 ","$19,190,001 ","$13,836,001"
111,P.J. Washington,DAL,PF,Forward,5.3 ,"$14,152,174 ","$18,604,543 ","$4,452,369"
112,Dillon Brooks,PHX,SF,Wing,5.3 ,"$21,124,110 ","$18,604,543 ","-$2,519,567"
113,Luguentz Dort,OKC,SG,Wing,5.3 ,"$18,222,222 ","$18,604,543 ","$382,321"
114,Santi Aldama,MEM,PF,Forward,5.3 ,"$18,485,916 ","$18,604,543 ","$118,627"
115,Cam Thomas,BKN,SG,Combo,5.3 ,"$5,993,172 ","$18,604,543 ","$12,611,371"
116,Ty Jerome,MEM,PG,Combo,5.3 ,"$8,781,000 ","$18,024,152 ","$9,243,152"
117,Donte DiVincenzo,MIN,SG,Combo,5.3 ,"$11,990,000 ","$18,024,152 ","$6,034,152"
118,Jalen Green,PHX,SG,Combo,5.2 ,"$33,584,499 ","$17,449,195 ","-$16,135,304"
119,Anfernee Simons,BOS,PG,Combo,5.2 ,"$27,678,571 ","$17,449,195 ","-$10,229,376"
120,Brook Lopez,LAC,C,Center,5.1 ,"$8,750,000 ","$16,880,042 ","$8,130,042"
122,Onyeka Okongwu,ATL,C,Center,5.1 ,"$15,000,000 ","$16,880,042 ","$1,880,042"
123,Klay Thompson,DAL,SG,Wing,5.1 ,"$16,666,667 ","$16,317,055 ","-$349,612"
124,Dorian Finney-Smith,HOU,SF,Forward,5.1 ,"$12,700,000 ","$16,317,055 ","$3,617,055"
125,Deandre Ayton,LAL,C,Center,5.1 ,"$8,104,000 ","$16,317,055 ","$8,213,055"
126,Nic Claxton,BKN,C,Center,5.1 ,"$25,352,272 ","$16,317,055 ","-$9,035,217"
127,Herbert Jones,NOP,SF,Forward,5.1 ,"$13,937,574 ","$16,317,055 ","$2,379,481"
128,Mark Williams,PHX,C,Center,5.0 ,"$6,276,531 ","$15,760,595 ","$9,484,064"
